[20:03:18] [INFO] 🚀 跳跃执行: skip → current_task | stall @ self_repair
[20:03:54] [INFO] 🚀 跳跃执行: skip → current_task | stall @ watchdog
[20:04:46] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:04:59] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
2026-03-27 04:06:36 [supervisor] PID文件不存在，启动jump_controller
[20:06:36] [INFO] 🚀 守护进程启动 PID=19343 interval=30.0s
[20:06:36] [INFO] 🚀 守护进程启动 PID=19343 interval=30.0s
[20:06:36] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:06:36] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:07:07] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:07:07] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:07:38] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:07:38] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:08:10] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:08:10] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:08:41] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:08:41] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:09:12] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:09:12] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:09:44] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:09:44] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:09:59] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:10:15] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:10:15] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:10:43] [INFO] 🚀 跳跃执行: archive_and_continue → current_context | efficiency @ human
[20:10:46] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:10:46] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:10:55] [INFO] 🚀 跳跃执行: archive_and_continue → current_context | efficiency @ human
[20:10:55] [INFO] 📦 存档完成: snapshot_20260326_201055.json，继续执行
[20:11:18] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:11:18] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:11:48] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:11:48] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:12:19] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:12:19] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:12:51] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:12:51] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:13:22] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:13:22] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:13:54] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:13:54] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:14:25] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:14:25] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:14:56] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:14:56] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:15:33] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:15:33] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:16:04] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:16:04] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:16:36] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:16:36] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:17:07] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:17:07] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:17:38] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:17:38] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:18:09] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:18:09] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:18:41] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:18:41] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:19:12] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:19:12] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:19:14] [INFO] 🚀 跳跃执行: signal_drift_correction → current_context | drift @ jump_pattern
[20:19:14] [INFO] 🔄 TAG漂移修正完成: 连续3次stall，疑似循环空转，继续执行
[20:19:43] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:19:43] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:20:14] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:20:14] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:20:46] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:20:46] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:21:16] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:21:16] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:21:47] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:21:47] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:22:18] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:22:18] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:22:50] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:22:50] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:23:21] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:23:21] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:23:52] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:23:52] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:24:23] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:24:23] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:24:55] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:24:55] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:25:26] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:25:26] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:25:57] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:25:57] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:26:29] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:26:29] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:27:00] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:27:00] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:27:31] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:27:31] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:28:01] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:28:01] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:28:33] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:28:33] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:29:04] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:29:04] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:29:35] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:29:35] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:30:06] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:30:06] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:30:37] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:30:37] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:31:08] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:31:08] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:31:39] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:31:39] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:32:10] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:32:10] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:32:41] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:32:41] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:33:13] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:33:13] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:33:43] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:33:43] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:34:14] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:34:14] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:34:45] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:34:45] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:35:16] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:35:16] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:35:47] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:35:47] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:36:18] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:36:18] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:36:49] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:36:49] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:37:20] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:37:20] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:37:51] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:37:51] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:38:22] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:38:22] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:38:53] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
